generation,proxy,pocket_fit,novelty,strain,sa,qed,logp,mw,fp,smiles,fragment_counts
0,0.537283356132673,0.6931111050280392,1.0,0.6653679483554634,10.0,0.831826017521923,3.542600000000001,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000000183DBA00>,CCC(C)(C)C(=O)Nc1ccc2cc[nH]c2c1,0
0,0.355156421291316,0.6897206469555455,1.0,0.8240850755690869,10.0,0.5064704894037605,4.800300000000003,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000000183DBAE0>,COc1ccc(-c2n[nH]c3ccccc23)c(-c2nccc3cccc-3n2)c1,0
0,0.5107107267985653,0.6911624747597006,1.0,0.26142224753543725,10.0,0.7937192194244723,0.9325999999999999,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000000183DBB50>,NC(=O)C1CCC(Nc2cnccn2)CC1,0
0,0.42220997516012343,0.69095551769794,1.0,0.4000843440060112,10.0,0.5196685004574958,3.8450000000000015,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000000183DB8B0>,c1ccc2ncc(-c3ccc4cccnc4n3)cc2c1,0
0,0.5263862376039087,0.6905850307188787,1.0,0.34033277567124676,10.0,0.7208399645825962,2.1633999999999993,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000000183DBBC0>,c1ccc2nc(Nc3ccncn3)ncc2c1,0
0,0.5099747710524447,0.6887177873791399,1.0,0.649316079019498,10.0,0.6466336315784135,2.2070999999999996,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000000183DBC30>,Nc1ccnc(-c2c[nH]c3ccccc23)n1,0
0,0.5337683249672655,0.689174277880225,1.0,0.6848495190943115,10.0,0.7061180713350441,2.472899999999999,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000000183DBA70>,c1cc2cc(Nc3ccncn3)ccn2c1,0
0,0.5749436077120477,0.688927368946995,1.0,0.3950838613757643,10.0,0.8952681648915647,2.9939,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000000183DBD10>,NC(=O)C1CCC(c2cc3ccccc3cn2)CC1,0
0,0.5273854183630138,0.6871253094091511,1.0,0.3367980942773452,10.0,0.8542697667514683,4.119100000000003,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000000183DBDF0>,NCc1ccc(-c2ccc(Cl)c(Cl)c2)cc1,0
0,0.5301073091022461,0.6909677477574607,1.0,0.37944375540727,10.0,0.842472740292132,3.664080000000003,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000000183DBCA0>,CC(C)(C)C(=O)N(c1ccccn1)c1ccccc1C#N,0
